n t exp p1 p2 p3 p4 p22 p32 
122.0 0.002514179 0.003457217567810004 0.016785545361533774 0.0026328918424151724 0.002611858170678158 0.0026715918759947677 0.002831722468079499 0.002745404913236601 
123.0 0.002548107 0.0034758012468282056 0.01692313179579355 0.0026762308935782838 0.002651589528284828 0.002711130364512046 0.002866465058646605 0.002778422960275775 
124.0 0.0025749494999999997 0.0034944848192199306 0.017060718230053333 0.0027199237329141525 0.0026916531608001813 0.0027509999304169046 0.0029014793030767666 0.0028117988621062934 
125.0 0.0026594565000000003 0.003513268821944844 0.017198304664313113 0.0027639703604227786 0.002732049196764128 0.00279120070835328 0.0029367652013699845 0.002845535528116613 
126.0 0.0026928165 0.0035321537948489463 0.017335891098572895 0.002808370776104163 0.00277277776471658 0.0028317328329651057 0.002972322753526258 0.002879635867695189 
127.0 0.0027065425 0.003551140280680087 0.01747347753283267 0.002853124979958304 0.002813838993197449 0.0028725964388963197 0.0030081519595455885 0.0029141027902304783 
128.0 0.002753916 0.003570228825103564 0.01761106396709245 0.002898232971985203 0.0028552330107466453 0.0029137916607908567 0.0030442528194279746 0.002948939205110936 
129.0 0.002794215 0.003589419976717804 0.017748650401352234 0.0029436947521848597 0.0028969599459040805 0.0029553186332926516 0.003080625333173417 0.0029841480217250183 
130.0 0.0028546770000000003 0.003608714287070131 0.01788623683561201 0.0029895103205572738 0.002939019927209666 0.002997177491045642 0.0031172695007819153 0.0030197321494611815 
131.0 0.002872702 0.0036281123106726176 0.01802382326987179 0.0030356796771024456 0.0029814130832033128 0.003039368368693762 0.00315418532225347 0.0030556944977078813 
132.0 0.0029195544999999997 0.00364761460501802 0.018161409704131572 0.003082202821820375 0.0030241395424249317 0.003081891400880947 0.0031913727975880803 0.003092037975853574 
133.0 0.003011048 0.003667221730595801 0.018298996138391352 0.0031290797547110618 0.003067199433414434 0.0031247467222511346 0.003228831926785747 0.003128765493286716 
134.0 0.00301224 0.0036869342509082367 0.01843658257265113 0.0031763104757745065 0.0031105928847117315 0.0031679344674482588 0.0032665627098464696 0.003165879959395762 
135.0 0.0030452935000000003 0.0037067527324866167 0.01857416900691091 0.003223894985010708 0.003154320024856735 0.0032114547711162554 0.0033045651467702476 0.0032033842835691687 
136.0 0.0031037789999999997 0.0037266777449075183 0.01871175544117069 0.0032718332824196675 0.0031983809823893554 0.003255307767899062 0.003342839237557083 0.003241281375195392 
137.0 0.0031360245 0.0037467098608091813 0.01884934187543047 0.0033201253680013847 0.0032427758858495043 0.0032994935924406123 0.0033813849822069736 0.0032795741436628884 
138.0 0.0031946075 0.0037668496559079656 0.01898692830969025 0.0033687712417558597 0.0032875048637770934 0.0033440123793848416 0.003420202380719921 0.0033182654983601127 
139.0 0.00324119 0.003787097709014892 0.01912451474395003 0.003417770903683092 0.0033325680447120324 0.003388864263375687 0.0034592914330959243 0.0033573583486755224 
140.0 0.0033760295 0.0038074546020522835 0.01926210117820981 0.003467124353783082 0.003377965557194234 0.0034340493790570837 0.0034986521393349833 0.0033968556039975723 
141.0 0.003343288 0.003827920920070486 0.019399687612469588 0.0035168315920558295 0.0034236975297636083 0.0034795678610729675 0.003538284499437099 0.0034367601737147185 
142.0 0.003391346 0.003848497251264681 0.019537274046729367 0.0035668926185013342 0.003469764090960067 0.003525419844067274 0.0035781885134022703 0.003477074967215418 
143.0 0.003416303 0.0038691841869917948 0.01967486048098915 0.0036173074331195968 0.0035161653693235213 0.0035716054626839387 0.003618364181230498 0.003517802893888126 
144.0 0.0034698935 0.0038899823217874896 0.019812446915248926 0.003668076035910617 0.003562901493393883 0.003618124851566898 0.0036588115029217816 0.0035589468631212983 
145.0 0.0035356109999999997 0.003910892253383253 0.01995003334950871 0.0037191984268743943 0.003609972591711062 0.0036649781453600865 0.0036995304784761215 0.003600509784303391 
146.0 0.003583939 0.003931914582723574 0.02008761978376849 0.0037706746060109297 0.0036573787928149697 0.0037121654787074412 0.0037405211078935176 0.003642494566822861 
147.0 0.0036944085000000003 0.003953049913983217 0.020225206218028268 0.003822504573320223 0.003705120225245518 0.0037596869862528966 0.0037817833911739695 0.0036849041200681626 
148.0 0.003668735 0.003974298854584583 0.020362792652288048 0.003874688328802273 0.0037531970175426186 0.003807542802640389 0.003823317328317477 0.0037277413534277533 
149.0 0.0037219985000000004 0.003995662015215168 0.020500379086547827 0.003927225872457081 0.0038016092982461813 0.0038557330625138544 0.0038651229193240413 0.0037710091762900885 
