n t exp p1 p2 p3 p4 p32 p42 ap 
148.0 0.008514844 0.00869757054253155 0.031702843042128094 0.02504006437274641 0.013082001937726708 0.016028425455046652 0.008778545362244285 0.007334799905523667 0.00766348312978317 
149.0 0.008567982 0.008743738428591063 0.031917051440029376 0.025241108710653597 0.013210383498687004 0.016142472592851842 0.008897575127245497 0.0074342536843741295 0.007756411579916716 
150.0 0.008655061 0.008790151380061981 0.03213125983793067 0.025442366121991286 0.013339301833536649 0.016257089309884905 0.009017406439485775 0.007534377185641094 0.007849965810859241 
151.0 0.008722279000000001 0.0088368106977848 0.03234546823583195 0.025643835186248833 0.013468756942275511 0.016372275606145834 0.009138039298965119 0.007635170409324559 0.007944145822610748 
152.0 0.0089047325 0.008883717689505053 0.03255967663373324 0.025845514501730706 0.013598748824903467 0.016488031481634628 0.009259473705683528 0.0077366333554245255 0.008038951615171234 
153.0 0.009153818499999999 0.008930873669909963 0.03277388503163453 0.026047402685185142 0.01372927748142039 0.016604356936351296 0.009381709659641 0.007838766023940994 0.008134383188540699 
154.0 0.0094385775 0.008978279960665306 0.03298809342953581 0.026249498371442494 0.013860342911826163 0.016721251970295826 0.009504747160837539 0.007941568414873965 0.008230440542719146 
155.0 0.00915883 0.009025937890452418 0.0332023018274371 0.026451800213062964 0.013991945116120662 0.016838716583468225 0.009628586209273145 0.008045040528223435 0.008327123677706574 
156.0 0.009216685 0.00907384879500547 0.03341651022533838 0.02665430687999343 0.014124084094303772 0.016956750775868498 0.009753226804947815 0.008149182363989408 0.00842443259350298 
157.0 0.0093343305 0.009122014017148888 0.03363071862323967 0.026857017059233095 0.01425675984637537 0.017075354547496632 0.00987866894786155 0.008253993922171882 0.008522367290108367 
158.0 0.009443382 0.009170434906834992 0.03384492702114096 0.027059929454507636 0.014389972372335347 0.017194527898352636 0.010004912638014351 0.008359475202770856 0.008620927767522733 
159.0 0.009495163 0.009219112821181834 0.03405913541904225 0.02726304278595158 0.014523721672183583 0.017314270828436507 0.010131957875406217 0.008465626205786333 0.00872011402574608 
