n,gen,seq,prom
431,0.002023447,0.0709631055,0.0309285575
432,0.002015051,0.0711605065,0.031080343
433,0.002024042,0.0714292205,0.0312244545
434,0.0020275835,0.0718002165,0.031380251
435,0.002040334,0.0721323995,0.0315416515
436,0.0020440995,0.072451652,0.0317032015
437,0.0020478645,0.0726162125,0.031848356
438,0.002057407,0.072975066,0.031997127
439,0.002059887,0.0731908095,0.032165382
440,0.002056825,0.0733871435,0.032295098
441,0.0020607485,0.073631192,0.0324543605
442,0.0020701,0.074106478,0.032608284
443,0.0020660975,0.074393767,0.0327321325
444,0.0020797735,0.0745694055,0.032882444
445,0.002085574,0.0749103715,0.0330501105
446,0.002080215,0.0753872055,0.0332219695
447,0.0021038085,0.075580281,0.033400986
448,0.0020997345,0.075694798,0.0335154545
449,0.002103812,0.0759950805,0.033684163
450,0.002106044,0.076362692,0.0338042085
451,0.0021121355,0.076646708,0.034023698
452,0.0021170535,0.07696753,0.034178275
453,0.002112036,0.0769677975,0.034323563
454,0.0021266875,0.0773720585,0.0344568345
455,0.0021367775,0.077567586,0.0345861175
456,0.002132284,0.077978808,0.0347434955
457,0.0021355515,0.078273694,0.0349575725
458,0.0021458535,0.0785056525,0.035085921
459,0.0021537885,0.0786913785,0.03528995
460,0.0021592035,0.078852714,0.0354013675
461,0.0021614135,0.079335771,0.035573438
462,0.002155692,0.0796302405,0.0357073055
463,0.0021805365,0.079857386,0.0358942645
464,0.0021612145,0.080082926,0.0360271365
465,0.0021812175,0.0807212845,0.0362160525
466,0.002180769,0.080843698,0.0364002345
467,0.002185417,0.081188531,0.036511329
468,0.002191249,0.0814372635,0.0366582155
469,0.002194374,0.0817430375,0.0368334795
470,0.002193022,0.082039065,0.037036441
471,0.002199004,0.0817215975,0.0372004775
472,0.0022095705,0.0825844495,0.037407671
473,0.002227879,0.082982164,0.037498299
474,0.0022212175,0.0831650225,0.0377072985
475,0.0022167345,0.083469855,0.0378533315
476,0.002227629,0.083749402,0.0379934015
477,0.002242273,0.0844165255,0.0381835735
478,0.0022387285,0.0842141345,0.0383507555
479,0.0022372875,0.084935685,0.038549154
480,0.002245389,0.0852067935,0.0387394715
481,0.0022567525,0.085536474,0.0389072015
482,0.002250933,0.0856858325,0.039072273
483,0.0022627285,0.0859928255,0.0392281465
484,0.0022677035,0.0863271,0.0394048325
485,0.0022761625,0.0867041235,0.039583696
486,0.0022733995,0.0869112485,0.0396800605
487,0.0022832745,0.087107749,0.039857792
488,0.0022899555,0.087542079,0.04005444
489,0.002284726,0.08763753,0.040202127
490,0.002288429,0.087922271,0.0403392385
491,0.002305572,0.0884062095,0.040504545
492,0.0023085655,0.088241247,0.040667278
493,0.0023131035,0.089066271,0.040859494
494,0.002308675,0.089333726,0.041116713
495,0.0023134955,0.08967494,0.0411686225
496,0.0023226795,0.0898287445,0.041383973
497,0.002333811,0.090288609,0.041618657
498,0.002312388,0.090390116,0.0417757405
499,0.0023459205,0.0908720385,0.04191681
500,0.002337924,0.090567943,0.042151386
501,0.002338467,0.0916447445,0.0422871225
502,0.002361568,0.0918995175,0.0424331865
503,0.0023548865,0.092236179,0.0426593555
504,0.002379817,0.094470713,0.042872192
505,0.0023770955,0.0948687195,0.043129123
506,0.0023897655,0.0949662305,0.0432891465
507,0.002384345,0.095265672,0.0434234655
508,0.002397122,0.095386015,0.0435449715
509,0.0023962545,0.0961080625,0.043852062
510,0.0024115555,0.0948193395,0.0438709545
511,0.002394176,0.094197255,0.044036221
512,0.0024040975,0.0950436435,0.0441881415
513,0.0024242915,0.0971126375,0.0444241395
514,0.0024129495,0.0957917745,0.044562431
515,0.002408911,0.0961707525,0.044795385
516,0.002434682,0.0963321515,0.0449231645
517,0.0024296705,0.097640021,0.045202127
518,0.0024408995,0.0990724625,0.045476538
519,0.0024575355,0.099396847,0.0456581145
520,0.0024484325,0.0998305115,0.045898303
